rank,name,domain,category,opt_out_url,email,phone,opt_out_hub,leverage,priority_score,sensitivity_score,onward_sale_score,ca_registered,collects_minors,sold_to_genai,sold_to_law_enforcement,deletion_requests_received,deletion_compliance_rate,deletion_median_response_days,removal_method,sources
144,"ACH, Address Clearing House",achcoop.com,,https://www.achcoop.com/,privacy@achcoop.com,3024800432,,1,47.5,0,0,True,False,False,False,254237,0.999,10.0,,cppa-registry-current|cppa-registry-historical
145,"Cox Automotive, Inc.",coxautoinc.com; www.autotrader.com; www.fordblueadvantage.com; www.kbb.com,,https://www.coxautoinc.com/privacy-statement/,consumer-privacy-ops@coxautoinc.com,866-288-6872,,1,47.5,4,0,True,False,False,False,107,0.439,43.0,,cppa-registry-current
146,Site Impact LLC,siteimpact.com,,https://www.siteimpact.com/privacypolicy.php,dataprivacy@siteimpact.com,954-982-7900,,1,47.4,0,0,True,False,False,False,233662,1.0,5.0,,cppa-registry-current|cppa-registry-historical
147,ZoomInfo,zoominfo.com,b2b,https://privacyrequest.zoominfo.com/remove/verify,privacy@zoominfo.com,8669049666,,1,47.4,0,0,True,,,,10874,1.0,1.0,form,curated|cppa-registry-current|cppa-registry-historical
148,"InfoPay, Inc",infopay.com; infotracer.com; propertychecker.com; goodcar.com; statecourts.org; courtcasefinder.com; thepublicindex.org; entitycheck.com; sentinex.org; idstrong.com; courtrecords.us; staterecords.org; recordsfinder.com,,https://www.infopay.com/privacy,compliance@infopay.com,8003099351,,1,47.3,0,0,True,False,False,False,18145,0.752,6.0,,cppa-registry-current
149,People Data Labs,peopledatalabs.com,,https://privacy.peopledatalabs.com/policies?name=privacy-policy,privacy@peopledatalabs.com,888-868-1028,,1,47.2,0,0,True,False,False,False,218788,1.0,1.0,,cppa-registry-current|cppa-registry-historical
150,Swordfish AI Inc,swordfish.ai,,https://swordfish.ai/policy,contact@swordfish.ai,(855) 512-9715,,1,47.2,0,0,True,False,False,False,211740,1.0,3.0,,cppa-registry-current|cppa-registry-historical
151,IQVIA Digital Inc.,iqviadigital.com; https,,https://privacyportal.onetrust.com/webform/07e8dc4d-6686-403e-9b11-39fe7347d2f4/2f999bd2-c826-498c-a504-894eaf543b6f,privacyofficer@iqvia.com,8662674479,privacyportal.onetrust.com,4,46.9,2,0,True,False,False,False,766,0.99,6.0,,cppa-registry-current
152,Milestone Marketing Solutions,milestonemarketingsolutions.com,,https://www.milestonemarketingsolutions.com/privacy-policy,accounting@milestonemarketingsolutions.com,800-313-1873,,1,46.4,1,0,True,False,False,False,24389,1.0,33.0,,cppa-registry-current|cppa-registry-historical
153,Choreograph LLC,choreograph.com,,https://www.choreograph.com,datagovernance@choreograph.com,4156120051,,1,46.3,3,0,True,False,False,False,312,0.776,12.0,,cppa-registry-current|cppa-registry-historical
154,"HireTeamMate, Inc.",hireez.com,,https://app.hireez.com/ownyourdata,privacy@hireez.com,888-797-9291,,1,46.3,0,1,True,False,False,False,13337,1.0,1.0,,cppa-registry-current|cppa-registry-historical
155,"Ownco, LLC",monitorbase.com,,https://my.monitorbase.com/privacypolicy,privacy@monitorbase.com,8018644610,,1,46.3,0,0,True,False,False,False,136120,1.0,1.0,,cppa-registry-current
156,"CoStar Realty Information, Inc.",costar.com,,https://www.costar.com/about/privacy-notice,globalprivacyinbox@costar.com,8882267404,,1,46.2,1,2,True,False,False,False,144,0.729,5.0,,cppa-registry-current|cppa-registry-historical
157,Datamentors LLC,porchgroupmedia.com,,www.porchgroupmedia.com,lchiodo@porchgroupmedia.com,8139607800,,1,45.8,0,0,True,False,False,False,105609,1.0,7.0,,cppa-registry-current
158,"Deep Root Analytics, LLC",deeprootanalytics.com,,deeprootanalytics.com,notice@deeprootanalytics.com,2705560066,,1,45.8,0,0,True,False,False,False,35264,0.895,4.0,,cppa-registry-current|cppa-registry-historical
159,"TruthFinder, LLC",truthfinder.com; www.courthousedirectory.us; www.getfullreport.com; www.unitedstatesbackgroundchecks.com; www.courtlocations.com; www.locaterecord.net; www.recordlocator.net; www.backgroundchecks.us,,https://www.truthfinder.com/privacy-center/,legal@peopleconnect.us,855 921-3711,,1,45.8,0,0,True,False,False,False,61672,0.946,1.0,,cppa-registry-current
160,"Tunnl, LLC",tunnldata.com,,tunnldata.com,notice@tunnldata.com,2028182717,,1,45.8,0,0,True,False,False,False,35264,0.895,4.0,,cppa-registry-current|cppa-registry-historical
161,"Meltwater News US, Inc.",meltwater.com,,meltwater.com/privacy,privacy@meltwater.com,1 332-600-1426,,1,45.7,0,4,True,False,True,True,10,1.0,23.0,,cppa-registry-current|cppa-registry-historical
162,"Aidentified, Inc.",aidentified.com,,https://www.aidentified.com/privacy--policy,privacy@aidentified.com,5087356011,,1,45.6,0,0,True,False,False,False,95319,1.0,1.0,,cppa-registry-current|cppa-registry-historical
163,Globicom Inc,recordsfinder.com; https,,https://recordsfinder.com/optout/,aregsakanyan@gmail.com,7813541556,,1,45.5,0,0,True,False,False,False,529,0.055,6.0,,cppa-registry-current
164,KB Synergy Inc,kbsynergy.com,,https://hiy.ywv.mybluehost.me/website_8088244e/privacy-policy-ccpa-do-not-sell-my-information/,info@kbsynergy.com,8882147234,,1,45.5,0,0,True,False,False,False,91207,1.0,42.0,,cppa-registry-current|cppa-registry-historical
165,"Specialists Marketing Services, Inc.",sms-inc.com,,https://sms-inc.com/privacy-notice/,dataprivacyteam@sms-inc.com,2018655800,,1,45.4,0,0,True,False,False,False,58307,0.96,3.0,,cppa-registry-current|cppa-registry-historical
166,Alliant Cooperative Data Solutions LLC,alliantinsight.com,,https://alliantinsight.com/alliant-privacy-policy/,compliance@alliantdata.com,8456175500,,1,45.2,0,0,True,False,False,False,73023,0.994,1.0,,cppa-registry-current
167,"Belardi Ostroy, ALC, LLC",belardiwong.com,,https://belardiwong.com/,privacy.officer@belardiwong.com,212-924-1300,,1,45.2,0,0,True,False,False,False,1179,0.593,7.0,,cppa-registry-current|cppa-registry-historical
168,FaceCheck.ID,facecheck.id,face-search,https://facecheck.id/Face-Search/RemoveMyPhotos,,,,1,45.2,0,0,,,,,,,,form,curated
169,"Faraday, Inc.",faraday.ai,,https://faraday.ai/privacy-options,ccpa@faraday.io,8024580441,,1,45.2,0,0,True,False,False,False,77676,1.0,5.0,,cppa-registry-current
170,US Data Corporation,usdatacorporation.com,,https://www.usdatacorporation.com/do-not-sell-my-info/?utm_source=google_ads&utm_medium=ppc&utm_term=us&gclid=undefined,privacy@usdatacorporation.com,818-444-4590,,1,45.2,0,0,True,False,False,False,76651,1.0,33.0,,cppa-registry-current|cppa-registry-historical
171,"BeenVerified, LLC and its subsidiaries and affiliates",beenverified.com; https,,https://www.beenverified.com/svc/optout/search/comprehensive_optouts,privacy@ltvco.com,347-931-2725,beenverified.com,2,45.0,0,0,True,False,False,False,31905,0.981,3.0,,cppa-registry-current
172,"Brooks Integrated Marketing, LLC",brooksim.com,,https://www.brooksim.com/privacy-policy,privacy@brooksim.com,8005312601,,1,45.0,0,0,True,False,False,False,68593,1.0,15.0,,cppa-registry-current|cppa-registry-historical
173,Audience Acuity LLC,audienceacuity.com,,https://audienceacuity.com/,privacy@audienceacuity.com,4439943679,,1,44.9,0,0,True,False,False,False,49024,0.968,3.0,,cppa-registry-current|cppa-registry-historical
174,"First Direct, Inc.",firstdirectmarketing.com; nationallistcounts.com,,https://compliance.firstdirectmarketing.com/,privacy@firstdirectmarketing.com,4024030000,,1,44.8,0,0,True,False,False,False,62010,1.0,10.0,,cppa-registry-current
175,Resonate,resonate.com,,https://www.resonate.com/privacy-policy/,techleads@resonate.com,5712663200,,1,44.8,0,0,True,False,False,False,61800,1.0,1.0,,cppa-registry-current|cppa-registry-historical
176,Sabio Inc,sabioctv.com,,https://www.sabioctv.com/,privacy@sabio.inc,8449742662,,1,44.8,0,0,True,False,False,False,62217,1.0,2.0,,cppa-registry-current
177,"Asset International, Inc.",issmarketintelligence.com,,https://www.issgovernance.com/privacy-legal/ccpa/,dataprotectionofficer@iss-stoxx.com,3015560357,,1,44.7,0,2,True,False,False,False,141,0.014,0.0,,cppa-registry-current
178,MediaWallah Inc,mediawallah.com,,www.mediawallah.com,privacy@mediawallah.com,855 925-524,,1,44.6,0,0,True,False,False,False,56150,0.997,11.0,,cppa-registry-current|cppa-registry-historical
179,Accurate Append Inc.,accurateappend.com,,https://accurateappend.com/privacy-policy/,shawn@accurateappend.com,833-663-4646,,1,44.5,0,0,True,False,False,False,53223,1.0,1.0,,cppa-registry-current
180,Wunderkind Corporation,wunderkind.co,,https://www.wunderkind.co/privacy/,legal@wunderkind.co,2122923162,,1,44.5,0,0,True,False,False,False,55116,1.0,10.0,,cppa-registry-current
181,First Orion Corp,firstorion.com,,www.firstorion.com,snichols@firstorion.com,3584061,,1,44.4,0,0,True,False,False,False,28464,0.944,1.0,,cppa-registry-current|cppa-registry-historical
182,"Intelius, LLC",intelius.com; www.ussearch.com; www.pro.ussearch.com; www.arrestrecordsearch.com; www.criminalrecords.com; www.peoplefinder.com; www.peoplefind.com; www.telephonenumberlookups.com; www.reversephonelookup.com; www.brbpub.com; www.callercomplaints.com; www.courtreference.com; www.easybackgroundchecks.com; www.freebackgroundchecksusa.com; www.onlinesearches.com; www.snoopstation.com; www.zabasearch.com; www.addresses.com; www.publicrecords.com; www.publicrecords.onlinesearches.com; www.peoplelookup.com; www.publicrecords360.com,,www.intelius.com/privacy-center,legal@intelius.com,8775643253,,1,44.4,0,0,True,False,False,False,32339,0.957,1.0,,cppa-registry-current
183,J2 Martech Corp,fullcontact.com,,https://platform.fullcontact.com/your-privacy-choices,privacy@fullcontact.com,2125033500,,1,44.4,0,1,True,False,True,False,5128,1.0,1.0,,cppa-registry-current|cppa-registry-historical
184,"NFocus Consulting, Inc.",n-focus.com,,https://www.n-focus.com/privacy-policy/,consumer@n-focus.com,7406545809,,1,44.4,3,0,True,False,False,False,187,0.877,18.0,,cppa-registry-current|cppa-registry-historical
185,PrivCo Holding Inc,privco.com,,https://www.privco.com/privacy-policy,legal@privco.com,2126451686,,1,44.4,0,0,True,False,False,False,52136,1.0,9.0,,cppa-registry-current|cppa-registry-historical
186,REAL INTENT INC,realintent.co,,https://www.realintent.co/privacy-policy,aaron@realintent.co,9492587296,,1,44.4,0,0,True,False,False,False,50602,1.0,1.0,,cppa-registry-current
187,"Inbound Insight, LLC",inboundinsight.com,,https://inboundinsight.com/ccpa,privacy@inboundinsight.com,212-655-9807,,1,44.3,0,0,True,False,False,False,48963,1.0,1.0,,cppa-registry-current|cppa-registry-historical
188,Carry Technologies Inc.,hightouch.com,,https://hightouch.com/privacy-policy,legal@hightouch.com,332203819,,1,44.2,0,0,True,False,False,False,45852,1.0,33.0,,cppa-registry-current
189,"Giant Partners, Inc.",giantpartners.com; www.listgiant.com,,www.giantpartners.com; www.listgiant.com,nikki@giantpartners.com,8052671575,,1,44.1,0,0,True,False,False,False,44784,1.0,12.0,,cppa-registry-current
190,Instant Checkmate LLC,instantcheckmate.com; www.cellphonedirectory.com; www.cheaterslie.com; www.freepeople-search.com,,www.instantcheckmate.com/privacy-center,tara.buck@peopleconnect.us,(877) 564-3003,,1,44.0,0,0,True,False,False,False,24499,0.949,1.0,,cppa-registry-current
191,Decide Technologies Inc.,decide.co,,https://decide.co/privacy,privacy@decide.co,8009835280,,1,43.9,1,0,True,False,False,False,6554,1.0,22.0,,cppa-registry-current|cppa-registry-historical
192,"Postie, Inc",postie.com,,https://postie.com/your-privacy-choices/,legal@postie.com,888-992-4935,,1,43.9,0,0,True,False,False,False,40091,1.0,1.0,,cppa-registry-current|cppa-registry-historical
193,"Altair Data Resources, Inc",altairdata.com,,https://www.altairdata.com/consumer-info,dpelland@altairci.com,(615) 468-6800,,1,43.8,0,0,True,False,False,False,37132,1.0,3.0,,cppa-registry-current
194,"Dataline, Inc.",datalinedata.com,,https://datalinedata.com/privacy-portal/,privacy.officer@datalinedata.com,6094526014,,1,43.8,0,0,True,False,False,False,37175,1.0,10.0,,cppa-registry-current
195,"DonorBase, Inc.",donorbase.com,,https://donorbase.com,doba_privacy@donorbase.com,(402) 836-3377,,1,43.8,0,0,True,False,False,False,37141,1.0,9.0,,cppa-registry-current|cppa-registry-historical
196,RELX Inc.,lexisnexis.com,,https://www.lexisnexis.com/global/privacy/en/privacy-center-us.page,privacy.inquiries@lexisnexis.com,8008973259,,1,43.7,0,2,True,False,False,True,130,0.231,6.0,,cppa-registry-current
197,"Intalytics, Inc.",intalytics.com,,https://kalibrate.com/data-subject-access-request-form/,privacy@kalibrate.com,888-231-2921,,1,43.6,0,0,True,False,False,False,34220,1.0,15.0,,cppa-registry-current|cppa-registry-historical
198,"Unacast, Inc.",unacast.com,,https://www.unacast.com/privacy-policy,privacy@unacast.com,7038408850,,1,43.6,1,1,True,False,False,False,561,1.0,11.0,,cppa-registry-current
199,"Stirista, LLC",stirista.com; www.lbdigitaldata.com; www.mediasourcesolutions.com; ameribase.com; www.lighthouselist.com; www.andrewswharton.com; www.listconnection.net; www.magnetik.com,,https://www.stirista.com/privacy-policy/,info@stirista.com,8883206083,,1,43.5,0,0,True,False,False,False,31758,1.0,2.0,,cppa-registry-current
200,CTAM LeadShare Corp.,smartmove.us,,https://www.smartmove.us/company/privacy,compliance@ctam.com,3014858933,,1,43.3,0,0,True,False,False,False,17683,0.95,16.0,,cppa-registry-current|cppa-registry-historical
201,Realeflow LLC,realeflow.com; www.leadflow.com,,www.realeflow.com; www.leadflow.com,privacy@realeflow.com,4404470563,,1,43.3,0,0,True,False,False,False,29660,1.0,3.0,,cppa-registry-current
202,"PropertyRadar, Inc.",propertyradar.com,,https://www.propertyradar.com/privacy-policy,privacy@propertyradar.com,888-914-9661,,1,43.2,1,2,True,False,False,True,42,0.714,5.0,,cppa-registry-current|cppa-registry-historical
203,"Blackbaud, Inc",blackbaud.com,,https://www.blackbaud.com/,privacy@blackbaud.com,8436543256,,1,43.0,0,0,True,False,False,False,448,0.123,9.0,,cppa-registry-current|cppa-registry-historical
204,"Civis Analytics, Inc.",civisanalytics.com,,https://www.civisanalytics.com/legal-pages/supplemental-privacy-notice,dataprotectionmail@civisanalytics.com,(312) 985-0173,,1,42.9,0,0,True,False,False,False,23773,1.0,27.0,,cppa-registry-current|cppa-registry-historical
205,AnalyticsIQ Inc,analytics-iq.com,,https://analytics-iq.com/privacy-policy/,privacy@analyticsiq.com,8886124309,,1,42.8,0,0,True,False,False,False,22357,1.0,6.0,,cppa-registry-current|cppa-registry-historical
206,"Slashdot Media, LLC",slashdotmedia.com; www.sourceforge.net; www.slashdot.org; www.voipreview.org; www.linuxjournal.com; www.myrateplan.com; wirefly.com,,https://slashdotmedia.com/privacy-statement/,roger.abbott@slashdotmedia.com,8585831700,,1,42.8,0,0,True,False,False,False,1474,0.732,1.0,,cppa-registry-current
207,ContactOut Limited,contactout.com,,https://contactout.com/privacy_data_subjects,albert@contactout.io,3054063801,,1,42.7,0,0,True,False,False,False,21622,1.0,1.0,,cppa-registry-current|cppa-registry-historical
208,"HubSpot, Inc.",hubspot.com; https,,https://legal.hubspot.com/privacy-policy,privacy@hubspot.com,8884827768,,1,42.7,0,1,True,False,False,False,2175,1.0,15.0,,cppa-registry-current
209,"Censia, Inc.",censia.com,,www.censia.com,support@censia.com,5102461192,,1,42.5,0,0,True,False,False,False,19529,1.0,2.0,,cppa-registry-current|cppa-registry-historical
210,"M&R Strategic Services, Inc.",mrss.com,,https://www.mrss.com,privacy@mrss.com,202-223-9541,,1,42.5,0,0,True,False,False,False,19898,1.0,6.0,,cppa-registry-current|cppa-registry-historical
211,Crimson Hexagon,brandwatch.com,,https://portals.dporganizer.com/fa778b0e-817f-4c96-b13d-e2b614470033,dpo@cision.com,2122292240,portals.dporganizer.com,2,42.4,0,4,True,False,True,True,0,,0.0,,cppa-registry-current|cppa-registry-historical
212,"Zenleads, Inc.",apollo.io,,https://www.apollo.io/,dpo@apollo.io,3475239985,,1,42.4,0,0,True,False,False,False,18610,1.0,1.0,,cppa-registry-current|cppa-registry-historical
213,"Aristotle International, Inc.",aristotle.com,,https://www.aristotle.com/privacy/addendum-for-california-residents/,dpo@aristotle.com,2025438345,,1,42.3,1,0,True,False,False,False,635,0.767,1.0,,cppa-registry-current|cppa-registry-historical
214,"Blue Hill Marketing Solutions, Inc",liftbasedata.com; www.liftengine.com; www.launchpadltv.com,,https://www.liftbasedata.com/request-to-know/,dataprivacy@liftbasedata.com,8456276600,liftbasedata.com,2,42.3,0,0,True,False,False,False,9322,1.0,21.0,,cppa-registry-current
215,"iSpot.tv, Inc.",ispot.tv,,https://www.ispot.tv/privacy,privacy@ispot.tv,(855) 477-6888,,1,42.3,1,1,True,False,True,False,287,1.0,40.0,,cppa-registry-current|cppa-registry-historical
216,Cision,cision.com,,https://portals.dporganizer.com/fa778b0e-817f-4c96-b13d-e2b614470033,dpo@cision.com,866-639-5087,portals.dporganizer.com,2,42.2,0,2,True,False,False,False,89,0.989,9.0,,cppa-registry-current|cppa-registry-historical
217,"Datasys Group, Inc.",datasys.com,,https://datasys.com/privacy-policy,seth.lubin@datasys.com,9546603556,,1,42.2,0,0,True,False,False,False,16675,1.0,3.0,,cppa-registry-current
218,"AtData, LLC",atdata.com,,https://www.atdata.com,privacy_support@atdata.com,3322404684,,1,42.1,0,0,True,False,False,False,9355,0.948,38.0,,cppa-registry-current|cppa-registry-historical
219,Cognism,cognism.com,,www.cognism.com,privacy@cognism.com,6503725001,,1,42.1,0,0,True,False,False,False,16153,1.0,9.0,,cppa-registry-current|cppa-registry-historical
220,Deloitte Consulting LLP,deloitte.com; https,,https://datasubject.deloitte.com/,usprivacyquestions@deloitte.com,8449190711,datasubject.deloitte.com,2,42.1,0,1,True,False,False,False,835,0.994,20.0,,cppa-registry-current
221,"SheerID, Inc.",sheerid.com,,https://www.sheerid.com/global-privacy-policy/,privacy@sheerid.com,5033206614,,1,42.1,1,0,True,False,False,False,2625,1.0,10.0,,cppa-registry-current|cppa-registry-historical
222,"Seamless Contacts, Inc.",seamless.ai,,https://preferences.seamless.ai/,privacy@seamlessleads.com,855-953-3265,,1,41.9,0,0,True,False,False,False,14576,1.0,1.0,,cppa-registry-current|cppa-registry-historical
223,Digital Viking Media Inc,digitalvikingmedia.com,,https://www.digitalvikingmedia.com/privacy-policy,privacy@digitalvikingmedia.com,5032030001,,1,41.8,1,0,True,False,False,False,2257,1.0,3.0,,cppa-registry-current|cppa-registry-historical
224,Datanyze LLC,datanyze.com,,https://www.datanyze.com/privacy-center,privacy@datanyze.com,3607185630,,1,41.6,0,0,True,False,False,False,12034,0.999,1.0,,cppa-registry-current|cppa-registry-historical
225,Unearth Campaigns LLC,unearthcampaigns.com; www.atlasinfluence.com,,https://www.unearthcampaigns.com/privacy-policy/#ca,privacy@unearthcampaigns.com,8554562646,,1,41.6,0,0,True,False,False,False,12336,1.0,7.0,,cppa-registry-current
226,"Venntel, Inc.",venntel.com,,https://www.venntel.com/privacy-policy,privacy@venntel.com,8555455623,,1,41.5,1,1,True,False,False,False,194,1.0,11.0,,cppa-registry-current|cppa-registry-historical
227,"Madhive, Inc.",madhive.com,,https://www.madhive.com/legal/privacy-policy,privacy@madhive.com,646-727-4054,,1,41.4,1,0,True,False,False,False,1888,1.0,45.0,,cppa-registry-current|cppa-registry-historical
228,ONAUDIENCE LTD,onaudience.com,,https://onaudience.com/do-not-sell-my-personal-info/,privacy@onaudience.com,20 3936 4267,,1,41.4,0,0,True,False,False,False,340,0.0,48.0,,cppa-registry-current|cppa-registry-historical
229,"PulsePoint, Inc.",pulsepoint.com,,https://www.pulsepoint.com/legal/platform-privacy-policy,dataprivacy@pulsepoint.com,201-918-1871,,1,41.4,0,0,True,False,False,False,378,0.122,3.0,,cppa-registry-current|cppa-registry-historical
230,"Strategic Data Intelligence, LLC",strategicdataintelligence.com,,www.strategicdataintelligence.com,m.curtis@sdintelligence.com,847-897-5706,,1,41.3,0,0,True,False,False,False,10400,1.0,9.0,,cppa-registry-current|cppa-registry-historical
231,"e.Republic, LLC",erepublic.com; govtech.com; governing.com; marketing.governmentnavigator.com; insider.govtech.com,,https://erepublic.my.salesforce-sites.com/PrivacyRequest/,privacy@erepublic.com,9169321300,,1,41.2,0,0,True,False,False,False,7606,0.972,37.0,,cppa-registry-current
232,"Lightcast, LLC",lightcast.io; rhetorik.com,,https://privacyportal.onetrust.com/webform/0f61f895-d08d-410f-b96d-ecfd34fd42e3/8d4dfe0d-998d-4c1d-ab6d-4357670fa8e9,privacy@lightcast.io,(208) 883-3500,privacyportal.onetrust.com,4,41.2,0,2,True,False,False,False,16,1.0,12.0,,cppa-registry-current
233,Tagis Inc,amplemarket.com,,https://portal.usepylon.com/amplemarket/forms/privacy-request-form,legal@amplemarket.com,918204466,,1,41.2,0,0,True,False,False,False,8281,0.982,6.0,,cppa-registry-current|cppa-registry-historical
234,Deloitte Financial Advisory Services LLP,deloitte.com,,https://datasubject.deloitte.com,usprivacyquestions@deloitte.com,8449190711,datasubject.deloitte.com,2,41.1,1,0,True,False,False,False,835,0.994,20.0,,cppa-registry-current|cppa-registry-historical
235,"FourthWall Media, Inc.",fourthwall.tv,,https://www.fourthwall.tv/privacy-fourthwall,californiadrop@fourthwall.tv,5712669787,,1,41.1,1,0,True,False,False,False,1602,1.0,6.0,,cppa-registry-current|cppa-registry-historical
236,"Mobilewalla, Inc.",mobilewalla.com,,https://www.mobilewalla.com/global-opt-out-request,jclark@mobilewalla.com,7704026730,,1,41.1,1,0,True,False,False,False,1547,1.0,4.0,,cppa-registry-current|cppa-registry-historical
237,Monocl AB,account.monocl.com; https,,https://www.definitivehc.com,monocldrop@definitivehc.com,31 20 20 53,,1,41.1,0,1,True,False,False,False,692,0.954,3.0,,cppa-registry-current
238,Populi LLC,definitivehc.com,,https://www.definitivehc.com,populidrop@definitivehc.com,(508) 904-4490,,1,41.1,0,1,True,False,False,False,692,0.954,3.0,,cppa-registry-current|cppa-registry-historical
239,"Collective Data Solutions, LLC",collectivedata.io,,collectivedata.io,legal@collectivedata.io,3608607333,,1,41.0,1,0,True,False,False,False,1496,1.0,5.0,,cppa-registry-current|cppa-registry-historical
240,"Spokeo, Inc.",spokeo.com; www.freepeopledirectory.com; www.thatsthem.com; www.peoplewin.com; www.anywho.com; www.family.me,,https://www.spokeo.com/privacy-policy,jmatthes@spokeo.com,6263969499,spokeo.com,2,41.0,1,2,True,False,False,True,8,1.0,1.0,,cppa-registry-current
241,"Samba TV, Inc.",samba.tv,,https://www.samba.tv/users/privacy-policy?lang=en,jagdip.sekhon@samba.tv,4158896404,,1,40.9,0,0,True,False,False,False,8419,1.0,10.0,,cppa-registry-current|cppa-registry-historical
242,WINR Data Pty Ltd,winrdata.com,,https://www.winrdata.com/privacy-policy-us/,privacyoffice@winrdata.com,414523064,,1,40.9,0,0,True,False,False,False,8592,1.0,1.0,,cppa-registry-current
243,adsquare GmbH,adsquare.com,,https://adsquare.com/,privacy@adsquare.com,3020 8498140,,1,40.7,1,0,True,False,False,False,1266,1.0,8.0,,cppa-registry-current|cppa-registry-historical
244,"Knowledge Works, Inc.",sbinsights.paynetonline.com,,https://www.equifax.com/personal/my-privacy/,usprivacy@equifax.com,1-866-295-6801,equifax.com,2,40.7,1,0,True,False,False,False,685,1.0,1.0,,cppa-registry-current
245,Leadspace Inc,leadspace.com,,https://www.leadspace.com/do-not-sell-form,compliance_privacy@leadspace.com,855-532-3772,,1,40.7,0,0,True,False,False,False,7730,1.0,11.0,,cppa-registry-current|cppa-registry-historical
246,"Warmly, Inc.",warmly.ai,,https://www.warmly.ai/p/privacy-policy,privacy@warmly.ai,4042931239,,1,40.7,0,1,True,False,True,False,768,1.0,2.0,,cppa-registry-current|cppa-registry-historical
247,AppLovin Corporation,applovin.com,,https://legal.applovin.com/privacy/,datarequests@applovin.com,(800) 839-9646,,1,40.6,0,0,True,False,False,False,7392,1.0,1.0,,cppa-registry-current
248,Private Records LLC,privaterecords.net; peoplesearch123.com; backgroundcheckers.net; personsearchers.com,,https://www.privaterecords.net,support@privaterecords.net,(888) 270-9304,,1,40.6,0,0,True,False,False,False,7178,1.0,1.0,,cppa-registry-current
249,The People Searchers LLC,peoplesearcher.com; http,,http://peopesearcher.cm,support@peoplesearcher.com,8335679375,,1,40.6,0,0,True,False,False,False,7178,1.0,1.0,,cppa-registry-current
250,Statara Solutions LLC,statara.com,,https://statara.com/privacy/,privacy@statara.com,(888) 207-8743,,1,40.5,0,0,True,False,False,False,7074,1.0,3.0,,cppa-registry-current|cppa-registry-historical
251,Qualfon,qualfon.com,,https://www.qualfon.com/privacy-policy/consumer-privacy-choices/,consumerprivacy@qualfon.com,3139575100,,1,40.2,0,0,True,False,False,False,6141,1.0,48.0,,cppa-registry-current|cppa-registry-historical
252,"i360, LLC",i-360.com,,https://www.i-360.com/ccpa,privacy@i-360.com,8446112737,,1,40.0,1,1,True,False,False,False,92,1.0,20.0,,cppa-registry-current|cppa-registry-historical
253,"Foo Monk, LLC",instantly.ai,,https://app.instantly.ai/privacy/info,privacy@instantly.ai,8182826243,,1,39.9,0,0,True,False,False,False,5229,1.0,1.0,,cppa-registry-current
254,Truth Now LLC,checksecrets.com; peoplesearchusa.org; inmatesearcher.com; sealedrecords.net,,checksecrets.com; peoplesearchUSA.org; inmatesearcher.com; sealedrecords.net,support@checksecrets.com,(855) 754-7951,,1,39.9,0,0,True,False,False,False,5068,1.0,1.0,,cppa-registry-current
255,"VideoAmp, Inc.",videoamp.com,,www.videoamp.com,privacy@videoamp.com,(424) 272-7774,,1,39.9,1,0,True,False,False,False,239,0.485,14.0,,cppa-registry-current|cppa-registry-historical
256,Lookify.io,lookify.io,,https://lookify.io/ccpa-privacy-statement,support@lookify.io,5165193689,,1,39.8,0,0,True,False,False,False,2530,0.938,1.0,,cppa-registry-current
257,"Narvar, Inc",corp.narvar.com,,https://corp.narvar.com/legal/privacy-policy,legal@narvar.com,6505859550,,1,39.8,0,0,True,False,False,False,4767,1.0,1.0,,cppa-registry-current
258,We Inform LLC,weinform.org; www.truthrecord.org,,www.weinform.org; www.truthrecord.org,support@weinform.org,(855) 879-0159,,1,39.8,0,0,True,False,False,False,4814,1.0,1.0,,cppa-registry-current
259,"RealSource, Inc",realsourcedata.com,,https://www.realsourcedata.com/privacy-policy,privacy@realsourcedata.com,6302081835,,1,39.6,0,0,True,False,False,False,4473,1.0,7.0,,cppa-registry-current|cppa-registry-historical
260,"Clay Labs, Inc.",clay.com,,https://privacy.clay.com/policies,privacy@clay.com,6465350201,,1,39.5,0,1,True,False,True,False,376,0.976,32.0,,cppa-registry-current
261,"Intermedia Ventures, LLC",staterecords.org; courtrecords.us; californiacourtrecords.us,,https://staterecords.org/optout,compliance@intermedia.team,512 617 2480,,1,39.5,0,0,True,False,False,False,300,0.133,6.0,,cppa-registry-current
262,"T-Mobile USA, Inc.",t-mobile.com,,https://www.t-mobile.com/advertising-solutions,mmp-privacy@t-mobile.com,8009378997,,1,39.5,1,0,True,False,False,False,693,0.996,31.0,,cppa-registry-current|cppa-registry-historical
263,A Direct Marketing Inc,bookyourdata.com,,https://www.bookyourdata.com,data@bookyourdata.com,3479012977,,1,39.4,0,0,True,False,False,False,3898,1.0,15.0,,cppa-registry-current|cppa-registry-historical
264,"M1 Data & Analytics, LLC",m1-data.com,,https://m1-data.com/unsubscribe/,service@m1-data.com,954-776-1197,,1,39.4,1,0,True,False,False,False,651,1.0,2.0,,cppa-registry-current
265,Revenue Roll Inc.,meettie.com,,meettie.com,info@meettie.com,9086799124,,1,39.4,1,0,True,False,False,False,667,1.0,7.0,,cppa-registry-current
